username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Robert,1599253473438371840,"Seattle, WA",2023-01-21 21:44:04,@ClimateReality @ADNOCGroup What about a guy who said the world would end from climate change 6 years ago? https://t.co/QGleoPtJRB,0,Twitter for iPhone,
Gordon Padelford,606877740,"Seattle, PNW",2023-01-21 21:08:05,"“Just catching up on repairs to state-owned bridges, transportation officials estimate, would take more than $150 m… https://t.co/5Htnz3p2J6",2,Twitter for iPhone,
John Mott 🇺🇦,245614153,"Seattle, WA",2023-01-21 20:46:53,"I can’t 

Opinion | I chose an induction stove over gas. Then the power went out. - The Washington Post https://t.co/80os7tDeOy",0,Twitter for iPhone,
Jan Wilson,396739767,"Shoreline, WA",2023-01-21 20:37:11,"@nathaliejacoby1 Climate change. Without a doubt. The destruction of the ecosystem, biodiversity &amp; ability for all… https://t.co/d8cDuBHZY8",0,Twitter for iPhone,
PsychicPsal,628251276,Kent,2023-01-21 20:30:01,"@MrMnd73 @AnitaHardcokMP @Amojak2 @sophielouisecc Innovating is fine, but climate change stuff went too far, too so… https://t.co/XzD4ENnFvv",1,Twitter for Android,
arturia girlfreak @ FC,31064219,"Seattle, WA",2023-01-21 20:24:44,Climate change is so cool wow https://t.co/9251gh7nWk,0,Twitter for Android,
durwood 🏳️‍🌈🐝🏒🦑,31085099,"Seattle, WA",2023-01-21 19:22:39,Fascinatingly frightening. https://t.co/85BlB5HGGF,1,Twitter for Android,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,2023-01-21 19:01:06,"@NickAdamsinUSA You'll murder your children to ""own the libs"": https://t.co/JoquD7aNNa",0,Twitter for Android,
Yip Foundation,850527333165420546,"Seattle, WA",2023-01-21 18:08:45,Check out these Black women environmentalists making incredible contributions to fight climate change!🌏https://t.co/DrnLIB8Stn,2,Pando Group Social,
Sentience is wasted on us. Here for neural nets.,128258549,"Auburn, WA",2023-01-21 16:37:19,"When scientists tagged a curious seal, he led them to signs of a potential climate disaster

https://t.co/ahlSdfmZEl",0,Twitter for Android,
Aaron Heslip,707410447788474368,"Seattle, WA",2023-01-21 16:22:10,"@PzkpfwVI_Tigor @hninstructing @GetAllMeta @growing_daniel No, unfortunately they haven’t. I wish they weren’t. It’… https://t.co/fa90BJbdIl",0,Twitter Web App,
Michael Jackson,245088747,Seattle,2023-01-21 11:12:28,@KetanJ0 That note was so Lomborgian that it could have been written by the man himself. Downplaying the impacts of… https://t.co/5uWbr67ZW6,0,Twitter Web App,
KING 5 News,19430999,"Seattle, Washington, USA",2023-01-21 09:16:02,"Scientists say the jump in temperature after 1995 is so much larger than pre-industrial times, there is little chan… https://t.co/ugtF4PzfHZ",8,SocialNewsDesk,
Country above party,1510106820580237317,"Bellevue, WA",2023-01-21 07:49:42,"@ECOWARRIORSS Just a quick question.. how did he get to that summit? Car,train, bus or private jet? My money is on… https://t.co/kFtelZEk8W",0,Twitter for iPad,
Prestige Jones,621257942,Seattle,2023-01-21 07:19:58,@RickStrom So Dungy is for saving lives huh… is he against gun violence? Anti war? Pro Vax? Universal Healthcare? A… https://t.co/ZpjgdE5DbQ,0,Twitter for iPhone,
Kristin L. Raught,1337547546093264896,"Bainbridge Island, WA",2023-01-21 06:50:52,@ML_Philosophy Climate change. We really have nothing else if our environment isn't stable.,0,Twitter for Android,
Adam Salazar,114661739,"Seattle, WA",2023-01-21 06:50:43,"@JunkScience I mean for real, what are you people even saying? Half the time you say climate change is natural and… https://t.co/d10wNMso0z",0,Twitter for iPhone,
Mark Reinoso,1038927030702596097,"Senoia, GA",2023-01-21 06:20:14,"Tall women: let’s fight for a better future, together https://t.co/9rT2rENwsD",0,Twitter for iPhone,
Agitated Spiders for Human Rights 🇺🇸🩸🦷,1583533650,Seattle,2023-01-21 05:49:23,"If you're upset that a pandemic makes your social life inconvenient, wait until you hear about climate change.",6,Twitter for Android,
(((Nance))) Woody’s guitar stands with Ukraine💛💙,21231879,"Seattle, WA",2023-01-21 05:30:53,@itsgudrun @mskaplannhs @WastelandBabes_ @travisakers KEXP played a track from a show at The Gorge in 2006 where Ed… https://t.co/EGBHFoZ75s,0,Twitter for iPad,
Von Galt,1444538733378760709,"Seattle, WA",2023-01-21 04:55:42,"@townhallcom Ask Ai, ""how does CERN, chemtrails, blocking sun &amp; military weather modification factor into climate change?""",0,Twitter for Android,
TopLobsta,1192959904757243909,Under Da Sea,2023-01-21 04:41:12,"Fresh meat poses alot of issues for the environment and speeds up climate change, you bigot! https://t.co/8mb4pPNeLi",2,Twitter for Android,
stevemur,14299276,Seattle,2023-01-21 03:56:09,"“Now, I’m going to hand it over to the Vice President, who has some powerful insights to share about water and clim… https://t.co/iTJGlwLiaH",0,Twitter for iPhone,
Jay Scherrer,1859112216,Seattle Washington,2023-01-21 03:54:50,@i200advocate Lord help us. There isn't one Democrat in the country who isn't deceitful. They speak like they want… https://t.co/Lcsx36zELw,0,Twitter for Android,
grist,7215512,"Seattle, WA",2023-01-21 03:06:00,"In a first, the U.S. government is asking major banks to account for their exposure to climate change. https://t.co/AR3pJ8dj0K",5,Sprout Social,
YES! Magazine,15935927,"Seattle, WA",2023-01-21 02:59:56,Would You Drink Beer Made From Wastewater? https://t.co/e72TdeFNBE,0,Echobox,
Russ Andes,14936247,"Seattle, WA, USA",2023-01-21 02:59:29,"Fighting for the right to eat meat when it’s literally one of the biggest, most easily removed contributors to glob… https://t.co/ExGmkTgiHE",0,Twitter for iPhone,
Dr. Eldon Tyrell-Rosen 🇺🇸🏳️‍🌈🎧🎮,708867565376765952,"Seattle, WA",2023-01-21 02:36:35,@JohnKI7YRA Climate change will eventually overwhelm all of this (and it's especially hard on the street people),0,Twitter for iPhone,
Whooshh Innovations,2750144563,"Seattle, WA",2023-01-21 01:54:10,Need a solution today for climate changes? Join Whooshh on StartEngine as we change the dam hydropower debates by d… https://t.co/tRpUuVwhbE,0,Sprout Social,
John Ryan,21325553,Seattle,2023-01-21 01:54:02,A truth about climate change that many   fail to grasp… https://t.co/f7RQwdZlAW,1,Twitter Web App,
Femmgee,114584062,Seattle WA,2023-01-21 01:50:52,@Cebi17 @LumLotus I’m pretty sure the show is TEXTBOOK climate change propaganda.,0,Twitter for iPad,
Madeline Ostrander,14875165,Seattle,2023-01-21 00:25:53,A hugely insightful story from @insideclimate. Rainforest areas managed by Indigenous communities are taking in car… https://t.co/ckylF8c4iY,2,Twitter Web App,
ShowMe_YourMask🐉,1342611226719731712,"Seattle, WA",2023-01-20 23:49:05,"Under banners saying “Protect Our Home,” climate change advocates rallied at the state Capitol Friday, blasting ina… https://t.co/EHaAts5qgQ",3,Twitter for iPhone,
ShowMe_YourMask🐉,1342611226719731712,"Seattle, WA",2023-01-20 23:46:07,They identified fossil fuel-linked entities that spent about $4 million on Facebook and Instagram ads around the ti… https://t.co/m8Wmccc2oZ,4,Twitter for iPhone,
Vance McElmurry,34230043,Seattle,2023-01-20 23:24:58,@johnsfaherty @JackPosobiec Ok. We agree it is belief without evidence. There are many other things that people hav… https://t.co/TR5SmhlDLy,0,Twitter Web App,
Timothy J Dunkerton,3262801500,,2023-01-20 23:22:57,"Red, I’m a climate scientist &amp; recognize Dynamics is King. I do Potential Vorticity staircases &amp; clouds for a livin… https://t.co/TRNXwCYrUn",3,Twitter for iPhone,
Blue Roses,558038941,"Seattle, WA",2023-01-20 23:07:03,"@Megamaniak16 @bookis714 ozone hole wasnt caused by the alleged climate change

ozone hole was caused by chlorofluo… https://t.co/wdfJytpArW",0,Twitter Web App,
SjD,558726628,Seattle,2023-01-20 22:58:21,@GretaThunberg This is a short film trailer about Forest fires caused by Climate Change https://t.co/QZoQW6mK1t @GretaThunberg,0,Twitter for iPhone,
Keith Nordquist,150699361,Kent Washington,2023-01-20 22:55:21,@SenWarren You mean like climate change taxes and business head taxes and ever increasing B&amp;O taxes? Are you talkin… https://t.co/uPFj3FaUwX,0,Twitter Web App,
Russ Andes,14936247,"Seattle, WA, USA",2023-01-20 22:26:03,"The Biden Administration is deeply unserious about the climate emergency, using programs like this which accelerate… https://t.co/p2SBRQ1q5V",0,Twitter Web App,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,2023-01-20 22:04:04,"@MarshaBlackburn More illegal crossings were stopped under Biden than under Trump, and you'll kill your own childre… https://t.co/3ihfw80WuT",0,Twitter Web App,
Ethan Davenport🌽🌽🌽🌽,750173103976689664,"Seattle,WA",2023-01-20 21:46:21,Chicago has a solution to climate change https://t.co/Q0k3HFPPKo,0,Twitter Web App,
T O,1467218247892168707,Seattle,2023-01-20 21:43:37,@BofA_News @DSteveBoland Shove the FAKE climate change crap up your collective ASSES where crap belongs. I will NEV… https://t.co/OKFASX7dWt,0,Twitter Web App,
DK,753592468910829572,"Bothell, WA",2023-01-20 21:41:53,@avance88 Climate change dude. Duh.,0,Twitter for iPhone,
CO2ign Art,1453802442781454336,"Seattle, WA",2023-01-20 21:32:39,"Even though carbon credits are flawed, they're a vital way to provide funding in the fight against deforestation an… https://t.co/JhVz0VP5rU",0,Twitter Web App,
Long Live the Kings,524713741,Seattle,2023-01-20 21:15:16,"Understanding what happens to #salmon in the open ocean is a key question across the North Pacific, as climate chan… https://t.co/z4lTgzi3SK",0,Twitter Web App,
grist,7215512,"Seattle, WA",2023-01-20 21:01:00,We explored how cities are taking unusual and exciting steps to mitigate climate change. Subscribe to our climate s… https://t.co/U7kgJLG1ER,0,Sprout Social,
Bill2uok,1593822144320131072,"Seattle, WA",2023-01-20 20:58:07,Plant life in the world. One big volcano eruption releases 8 times more pollution than all the people and industrie… https://t.co/JN9IBzqcGX,0,Twitter for Android,
Bill2uok,1593822144320131072,"Seattle, WA",2023-01-20 20:42:49,@WallStreetSilv @Lukewearechange These people do nothing but using natural changes in the world to make more money.… https://t.co/RrDrzHGXyb,0,Twitter for Android,
Lynsi Burton,1573038220438298627,"Seattle, WA",2023-01-20 20:22:50,What role do voluntary carbon markets play in the fight against climate change? That's a work in progress. From my… https://t.co/yCEDQMwEXs,0,Twitter Web App,
Civic Action,386782622,Seattle,2023-01-20 20:19:00,"Could we reverse the effects of climate change, provide universal healthcare and build a stronger social safety net… https://t.co/12908Ga0PB",1,Buffer,
Polar Nerd,915326564878786560,"Seattle, WA",2023-01-20 20:13:44,"Utah logic:

1. Climate change and agriculture drying up the lake.
2. Cut down trees to give lake the water.
🤦‍♂️
T… https://t.co/44OzSydoQj",5,Twitter Web App,
Institute for Health Metrics and Evaluation (IHME),76780096,"Seattle, Washington",2023-01-20 20:00:01,IHME is joining forces with @planet and @Microsoft to better detect emerging threats and provide recommendations on… https://t.co/RgJpWdEOwL,6,Sprinklr Publishing,
Timothy J Dunkerton,3262801500,,2023-01-20 19:51:57,The definition of “climate denier” is “someone who denies that the human contribution to climate change cannot be q… https://t.co/bWe8Sssu3h,1,Twitter for iPhone,
grist,7215512,"Seattle, WA",2023-01-20 19:25:02,The bipartisan legislation President Biden signed in 2021 allocated more than $50 billion to make America's infrast… https://t.co/TXGsE0K1Lw,1,Sprout Social,
Pitchfork Economics,1184897515943944192,"Seattle, WA",2023-01-20 18:40:30,"Iconic science fiction author Kim Stanley Robinson joined the pod this week to discuss climate change, world buildi… https://t.co/n5MHSI3EYn",3,Twitter Web App,
Amy Harder,39279393,"Seattle, Washington",2023-01-20 18:36:02,"If we fail to substantively slow climate change, future generations should look to this moment to summarize why: Hu… https://t.co/4gnAIpOxqs",0,TweetDeck,
Snatch the Pebble,1586760815868190720,"Seattle, WA",2023-01-20 18:10:17,@nbreavington I think she is trying to say that the responsibility of fighting climate change has fallen on her gen… https://t.co/kcrcc2TJCT,0,Twitter for iPhone,
Victor Arteaga 🇵🇪🇺🇲,39512419,"Seattle, WA",2023-01-20 18:10:12,@R18Jcs @akaelwopo1 @BrianTu85458331 @GeraldKutney @Chriskjones3 @CliveScott18 1850's: CO2 increase from burning fo… https://t.co/Gxji1wJbri,0,Twitter for Android,
University of Washington,27103822,Seattle,2023-01-20 18:04:01,"Climate change will reshape ecosystems through two types of events: short-term, extreme events — or “pulses” — and… https://t.co/gmchScIyqJ",1,Sprinklr Publishing,
Gregory Knight,34127769,By the sea,2023-01-20 17:41:08,"@lmphashby @DiamondandSilk I align with truth and honesty. I don’t align with anti vaxxers, climate change deniers,… https://t.co/qAJfua0LNW",0,Twitter for iPhone,
Katie Daviscourt🇺🇸,319901933,"Seattle, WA",2023-01-20 17:31:56,WORLD ECONOMIC FORUM: Greta Thunberg seems unable to defend positions on climate change when @RebelNewsOnline asks… https://t.co/wfd2ziujbj,98,Twitter for iPhone,
David Roberts,22737278,"Seattle, WA",2023-01-20 17:29:36,Today on Volts: an interview with author Stephen Markley about his epic new novel The Deluge. It follows more than… https://t.co/JljsRhAKRY,5,Twitter Web App,
grist,7215512,"Seattle, WA",2023-01-20 17:17:01,"Newly translated into English and soon to be a Netflix film, ""Stolen"" is a powerful novel that explores an Indigeno… https://t.co/IHZN0vv5ca",4,Sprout Social,
Rodger Voorhies,2800847830,"Seattle, WA",2023-01-20 17:01:00,"While the most-extreme climate scenarios may be less likely, the current impact of climate change is now projected… https://t.co/KNvskorn5E",1,Khoros Publishing App,
UW Engineering,28615613,"Seattle, WA",2023-01-20 17:00:17,Energy system models help inform effective policies to combat the effects of climate change. For @uw_cee's Edward W… https://t.co/9TkN6pxqV4,1,Sprout Social,
Lance Thomas,1596826069671481344,"Seattle, WA",2023-01-20 16:58:28,"@samanthamarika1 Everybody knows this is not about ""indoor"" pollutants."" It's about climate change",0,Twitter for Android,
Eric Hopper,57266178,"Seattle, WA",2023-01-20 16:51:18,"An excellent speech about handling climate change:
https://t.co/iLwdK3sKGl",0,Twitter for Android,
Robert Ferry,51047136,Seattle,2023-01-20 16:03:11,@Bitcoin_Martian @thetrocro This is an old thread but provides more detail. Basically where I’ve landed is that I d… https://t.co/SiXLF4lV1j,0,Twitter for iPhone,
Jan Hasselman,1007655855519514624,"Seattle, WA",2023-01-20 15:59:18,"Climate-friendly aviation doesn’t exist, and tinkering at the margins won’t make much of a difference.   

Notably… https://t.co/TmDMXJ8JYA",4,Twitter for iPhone,
Frank Novak,40242586,"Redmond, WA",2023-01-20 15:20:28,@rpetty I still wonder if it’s Global Warming or is it climate change or are we heading towards an Ice Age?  I don’… https://t.co/LaXVXZoeRo,0,Twitter for iPhone,
Daniel Scheeler,1563439036152561664,"Renton, WA ",2023-01-20 15:14:46,@sayitnspinit Climate change is real. Been an ongoing natural phenomenon for over 4 billion years.,0,Twitter for Android,
Keith Nordquist,150699361,Kent Washington,2023-01-20 15:07:34,"Raise the debt ceiling, give money to all the recent immigrants, give money to Ukraine, give even more money to the… https://t.co/s4IuG14Nhl",0,Twitter Web App,
magameathead55,790199474190561281,"Auburn, WA",2023-01-20 14:39:49,@stiletoprincess Or what if it’s nice and sunny? In Seattle that’s climate change,0,Twitter for iPhone,
Mia Bennett,556795771,University of Washington,2023-01-20 14:34:19,Inspiring discussions on everything from cosmograms to climate change at the #ThirdPole Writing Group… https://t.co/kCjoqMKwa4,0,Twitter Web App,
Kent Wildlife Trust,220989525,Kent,2023-01-20 14:01:47,"Attend the H2O Source2Sea project's final conference, and learn about nature-based solutions for climate change, in… https://t.co/gEXTMRC5u6",2,Hootsuite Inc.,
John Pelerine,1591706358453133314,"Seattle, WA",2023-01-20 13:32:36,"@TRHLofficial People at NY Times should smoke less crack to do their part too.  Also, climate change.",0,Twitter for Android,
Vesper Aegis,1464775059034288128,Seattle WA,2023-01-20 08:50:11,"@NEWSMAX Not a single lie detected there.  There are levels of denialism, from evangelicals claiming anthropogenic… https://t.co/zzSfLMmEFG",0,Twitter Web App,
we have a leader!,796953680511516673,"Seattle, WA",2023-01-20 07:58:13,"@JudiciaryGOP How about you seriously address the real, difficult &amp; pressing issues of climate change so our childr… https://t.co/TlxzxflNDZ",0,Twitter for iPhone,
Robert Ferry,51047136,Seattle,2023-01-20 06:43:09,"@MaryHeglar Elizabeth Kolbert’s “Climate Change from A to Z” is a finger on the pulse from late last year.
https://t.co/PmTvr6sJST",0,Twitter for iPhone,
From Where I Sit,2335665432,Seattle Washington,2023-01-20 05:47:49,@TheB1M @smithgillarch So much for sustainability and climate change,0,Twitter for iPhone,
AshtonAutoDetail_LLC,860752753,"Shoreline, WA",2023-01-20 04:22:11,"In the mountains where I live, I have a head start view of climate change a couple years ahead of everybody else, &amp;… https://t.co/l1Rp2ulKLd",0,Twitter for Android,
Bill2uok,1593822144320131072,"Seattle, WA",2023-01-20 04:10:28,@jordanbpeterson Their opinion means nothing to most people. I was surprised to find out that more people now than… https://t.co/fGnW9u8HEM,0,Twitter for Android,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,2023-01-20 02:05:28,@ACTBrigitte Because you think it's funny to murder your kids: https://t.co/JoquD7aNNa,0,Twitter for Android,
Brianna D. Lewis,1539638022,"Snohomish, Washington",2023-01-20 01:15:48,"It can't be ignored, and while beating climate change isn't something we yet know how to do fully, we continue to m… https://t.co/AVA139k7J1",0,Twitter Web App,
Brianna D. Lewis,1539638022,"Snohomish, Washington",2023-01-20 01:15:47,Humans started taking the threat of climate change seriously 50 years ago when predictions said doom in 50 years. A… https://t.co/YjJUPytWiw,0,Twitter Web App,
Brianna D. Lewis,1539638022,"Snohomish, Washington",2023-01-20 01:15:45,"Eventually if we don't improve, the bare minimum won't be enough anymore and the clock will tick down to zero. To k… https://t.co/5G18apJeA5",0,Twitter Web App,
Brianna D. Lewis,1539638022,"Snohomish, Washington",2023-01-20 01:15:45,Climate change is real. Humans are making things much much much worse. Humanity if we don't improve things will go… https://t.co/GSAG4XJoS3,0,Twitter Web App,
Adam Rodriguez,1519130533875175425,"Bremerton, WA",2023-01-20 00:02:03,"@DatReformedGuy No, it's climate change, obviously.",0,Twitter Web App,
YES! Magazine,15935927,"Seattle, WA",2023-01-20 00:01:50,Climate change is dangerous and disorienting. But building new relationships with the landscapes around us will all… https://t.co/sK62bx1hEU,0,Echobox,
FOX 13 Seattle,17070252,Seattle,2023-01-20 00:00:24,Scientists say warming in Greenland in the past may have been masked by local weather variability. But not any more… https://t.co/HsHIZYz2Iv,0,True Anthem,
YES! Magazine,15935927,"Seattle, WA",2023-01-19 23:22:53,"""The point of solarpunk is to start telling that new, creative story.""

https://t.co/wQFI7BWtmU https://t.co/qO0ZgWTvBq",1,Echobox,
"32.9116049,-112.9809427",139830358,"Seattle, WA",2023-01-19 23:20:58,"@noms780 It's not as much that, which is a problem with any indoor cooking system, but people are saying that gas i… https://t.co/fDwjznkuW0",0,Twitter Web App,
CCIM Washington,1210781306,"Seattle, Washington",2023-01-19 23:17:14,The Federal Reserve told the 6 largest U.S. banks to compile data on how their businesses would be impacted by clim… https://t.co/rMRWGHXMvv,0,Twitter Web App,
Nori,928691337200676864,"Seattle, WA",2023-01-19 23:17:03,"The @gitcoin Program Alpha Round is active through Jan 31st, with 40 projects in the Climate Solutions round to sup… https://t.co/g8khEgjCz3",2,Twitter Web App,
UW Civil & Environmental Engineering,1504544132483600384,"Seattle, WA",2023-01-19 23:01:32,"Interested in learning about carbon neutrality and combating climate change? Now on video is this past Edward Wenk,… https://t.co/nPpe9G0uEU",0,LaterMedia,
kryphos,15528118,"Seattle, WA",2023-01-19 22:54:46,@Autofocus And they will get even richer once climate change fully kicks in.,0,Twitter Web App,
Operation Ivy Mike & Ike ☢️,1344480822913482753,"Seattle, WA",2023-01-19 22:45:47,"@MaxAbrahms Unfortunately, it seems most younger folks never lived under the constant threat of nuclear war and the… https://t.co/omcrMPGtRq",0,Twitter Web App,
Karl Alex Pauls 🏴🍦⚛️,18457820,"Seattle, WA",2023-01-19 22:32:37,This is the reality of a fragile identity-based politics that strikes opportunistically behind a fragile coalition.… https://t.co/gg2OUkBfdi,0,Twitter Web App,
Brian,80349033,Kent,2023-01-19 22:32:03,@nbreavington Climate https://t.co/Q4Soxe9zQw wasn't long ago that a new ice age was predicted .,0,Twitter for Android,
Karl Alex Pauls 🏴🍦⚛️,18457820,"Seattle, WA",2023-01-19 22:30:15,"I just saw a streamer correctly mock the idea that climate change was part of the ""alphabet mafia"" -- but then they… https://t.co/KljrZ0nGK5",0,Twitter Web App,
Mia,1603817834743726102,"Seattle, WA",2023-01-19 22:28:25,"@RonFilipkowski So you're okay with tax breaks that further the climate change agenda, but you're not okay with tax… https://t.co/RY0D2aIidR",0,Twitter for Android,
johnstang_8,15023532,Seattle,2023-01-19 22:06:55,"For the 3rd year, a bill to make climate change to the Growth Management Act (governs land-use planning) heads thro… https://t.co/yKV0RqK3p6",0,Twitter Web App,
grist,7215512,"Seattle, WA",2023-01-19 21:52:31,FEMA requires homeowners that reside in “special flood hazard areas” to buy flood insurance. But the agency's Calif… https://t.co/yIorysFIyT,0,Twitter Web App,
Brianna D. Lewis,1539638022,"Snohomish, Washington",2023-01-19 21:24:11,"RED FLAG DETECTOR:
Ask a person for thoughts on;
Abortion
Law Enforcement(cops)
NFTs/crypto
Elon Musk
Russia(+Ukrai… https://t.co/0FrIFjrrwm",1,Twitter Web App,
Aaron Schwarz,234896506,"Issaquah, WA",2023-01-19 20:54:11,I have noticed there is something wrong in the world &amp; it continues increasing every year. Its not just climate cha… https://t.co/Uf91TmCXa6,0,Twitter Web App,
YES! Magazine,15935927,"Seattle, WA",2023-01-19 20:09:25,"“Minimum Viable Planet” is a weeklyish commentary about climateish stuff, and how to keep it together in a world go… https://t.co/yRkNcwIAiQ",0,Echobox,
Altleftto,1305215402364907520,Around Seattle,2023-01-19 19:31:44,"@WallStSenpai @disclosetv As a liberal who wants to do something about climate change, that guy can suck my meat.",0,Twitter Web App,
Will in Seattle,16645396,Seattle,2023-01-19 19:20:57,@ByChrisVazquez @davejorgenson @washingtonpost Would you believe “organic” energy then? Methane is only accelerating climate change,0,Twitter for iPhone,
grist,7215512,"Seattle, WA",2023-01-19 19:16:01,"The Federal Reserve, which is tasked with overseeing the country’s financial system, is trying to figure out just h… https://t.co/tnGv63ja5Y",3,Sprout Social,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,2023-01-19 19:06:20,"@JamesBradleyCA Because you'd murder your own children to ""own the libs"", and you'd be proud if you raised a murder… https://t.co/yCvYGu536L",10,Twitter Web App,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,2023-01-19 19:05:17,"@ACTBrigitte You'll kill your own children to ""own the libs"", won't you?  https://t.co/JoquD7aNNa",0,Twitter Web App,
Leafline Trails Coalition,1407799736514449408,Central Puget Sound,2023-01-19 18:33:41,"“Connected trails are one of those silver bullets” for health, climate change, the economy, and transportation, say… https://t.co/Rz04zSiJci",9,Twitter for iPhone,
Lukester 🇺🇸,1497008414982959105,"Seattle, WA",2023-01-19 18:31:11,"@RonFilipkowski Florida, who suffers most from climate change, doesn't care about green house emissions. That's smart.",0,Twitter Web App,
Mandy Gill,2205728552,Seattle WA,2023-01-19 17:43:33,Extra Dust in the Atmosphere Could Be Hiding the True Effects of Climate Change https://t.co/B6YJXzfSlq https://t.co/qAQqVCxTin,0,IFTTT,
The Seattle Times,14352556,"Seattle, WA",2023-01-19 17:35:20,The onslaught of rain and snow after three years of punishing drought appears akin to other major storms that have… https://t.co/UsRG9xL1hf,1,Echobox,
KScores,36134023,Seattle ,2023-01-19 17:12:21,@BrentScher @FreeBeacon @SusannahLuthi Climate change and racism are their two outs for everything.,0,Twitter Web App,
Rick,9890002,"Seattle, WA",2023-01-19 16:47:59,@RonFilipkowski How about the US government not giving taxpayer-funded hurricane disaster relief money to Florida r… https://t.co/pR6neKGchi,0,Twitter Web App,
Michelle,1571179509818462209,"Seattle, WA",2023-01-19 16:30:04,@catturd2 @gatewaypundit Climate change global warming whatever you want to call it has been going on forever https://t.co/AKpL4kLnwB,0,Twitter for Android,
grist,7215512,"Seattle, WA",2023-01-19 15:28:01,Climate change could submerge Stockton beneath 10 feet of water. The city's aging levees aren't prepared. https://t.co/6E5HPYVgZd,0,Sprout Social,
Kathleen Holm,29462809,"Seattle, WA",2023-01-19 15:10:09,"The European Central Bank (ECB) unveiled its top supervisory priorities for 2023 – 2025, setting “stepping up effor… https://t.co/B9oB5NULxq",0,PostBeyond,
Eddie Eastwood,2808675160,"Edmonds, Washington",2023-01-19 14:43:59,Check out this painting on https://t.co/xgcRUSidv3! https://t.co/dQZRWIVcyI,0,Twitter Web App,
Steve’s Mastercard,262124065,"Seattle, WA",2023-01-19 11:57:24,@LSXYZ9 Thoughts on climate change? @LSXYZ9,0,Twitter for iPhone,
Walter Hatch,746966064815214594,"Seattle, WA",2023-01-19 10:28:49,"@Iceman2716 @JimWalshLD19 Yes, most predictions from climate scientists writing a decade or two ago have proved to… https://t.co/noWS54J6OW",0,Twitter Web App,
BWW Seattle,76109666,Seattle,2023-01-19 10:26:00,"Bill Nye Comes to McCaw Hall to Speak Out On Climate Change in May
https://t.co/ef8NnVn8KO",0,bww_seattle,
YES! Magazine,15935927,"Seattle, WA",2023-01-19 10:17:06,How to Get Past Despair to Powerful Action on Climate Change https://t.co/vw4ioLFJoz,1,Echobox,
YES! Magazine,15935927,"Seattle, WA",2023-01-19 07:41:34,The Links Between Spirituality and Climate Change https://t.co/iEib6hIuFV,0,Echobox,
MSN,15856435,"Redmond, WA, USA",2023-01-19 07:41:17,Report: Climate change fueling conflict in Lake Chad Basin https://t.co/VETGUsneNS,0,OxfordBlue-Twitter,
"XExamine Podcast - Peace, Love, and Liberty",1541616540490928129,"Seattle, WA",2023-01-19 06:06:26,"We're back at it. This time, talking about the rules for thee and not for me climate change hysteria propagandized… https://t.co/lc68FfkrFf",0,Twitter Web App,
